[2026-01-19 23:05:51] INFO     | logger > === Log rotation: new file created at 2026-01-19 23:05:51 ===
[2026-01-19 23:05:52] INFO     | logger > === Log rotation: new file created at 2026-01-19 23:05:52 ===
[2026-01-19 23:05:52] INFO     | MangaBuff > ============================================================
[2026-01-19 23:05:52] INFO     | MangaBuff >   ЗАПУСК ПРИЛОЖЕНИЯ MANGABUFF
[2026-01-19 23:05:52] INFO     | MangaBuff > ============================================================
[2026-01-19 23:05:52] INFO     | MangaBuff > Версия: 2.6 (добавлена валидация клуба)
[2026-01-19 23:05:52] INFO     | MangaBuff > Время запуска: 2026-01-19 23:05:52
[2026-01-19 23:05:52] INFO     | MangaBuff.proxy_manager > Прочитан прокси из файла: 62.233.39.89:1080@Pr...
[2026-01-19 23:05:52] INFO     | MangaBuff.proxy_manager > Формат host:port@user:pass обнаружен
[2026-01-19 23:05:52] INFO     | MangaBuff.proxy_manager > Host: 62.233.39.89, Port: 1080, User: PrsRUS1HZZ1GZ
[2026-01-19 23:05:52] INFO     | MangaBuff.proxy_manager > 🔄 Получение текущего IP...
[2026-01-19 23:05:52] INFO     | MangaBuff.proxy_manager > 🌐 Текущий IP: 79.132.21.234
[2026-01-19 23:05:52] INFO     | MangaBuff.proxy_manager > 🔄 Обновление IP в прокси через API...
[2026-01-19 23:05:53] WARNING  | MangaBuff.proxy_manager > ⚠️ Не удалось обновить IP (код: 404)
[2026-01-19 23:05:53] INFO     | MangaBuff.proxy_manager > Proxy: socks5://PrsRUS1HZZ1GZ:***@62.233.39.89:1080
[2026-01-19 23:05:53] INFO     | MangaBuff.auth > Попытка входа для email: dan***@gmail.com
[2026-01-19 23:05:53] INFO     | MangaBuff.auth > Прокси настроен: Proxy: socks5://PrsRUS1HZZ1GZ:***@62.233.39.89:1080
[2026-01-19 23:05:54] INFO     | MangaBuff.auth > Авторизация успешна
[2026-01-19 23:05:54] INFO     | MangaBuff.utils > Авторизация успешна

[2026-01-19 23:05:54] INFO     | MangaBuff.telegram_users_db > Загружено 15 пользователей
[2026-01-19 23:05:54] INFO     | MangaBuff.telegram_users_db > Session установлена для парсинга никнеймов
[2026-01-19 23:05:54] INFO     | MangaBuff.main > ✅ Session установлена в БД для парсинга nicknames
[2026-01-19 23:05:54] INFO     | MangaBuff.club_validator > Создан валидатор для клуба: klub-taro-2
[2026-01-19 23:05:54] INFO     | MangaBuff.telegram_unified > ✅ Валидатор клуба инициализирован
[2026-01-19 23:05:54] INFO     | MangaBuff.telegram_unified > Telegram unified handler использует прокси
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_unified > ✅ Telegram бот подключен: @fsdfewfewsfd_bot
